FRAME s00
s00;99;18;34;0
s00;137;24;24;器
s00;163;24;25;者
s00;189;24;23;列
s00;97;334;18;太
s00;118;336;16;阳
s00;137;335;18;神
s00;157;334;17;鸟
s00;141;389;33;12
s00;96;648;18;天
s00;117;648;18;王
s00;137;649;17;石
s00;158;648;16;刻
s00;948;22;19;批
s00;969;22;18;量
s00;989;22;18;关
s00;1009;23;18;心
s00;1031;26;11;《
s00;1074;22;18;关
s00;1094;23;18;心
s00;1003;334;17;素
s00;1024;335;17;纱
s00;1043;334;17;草
s00;1063;334;17;衣
s00;1039;389;57;100
s00;1003;648;16;商
s00;1023;648;17;周
s00;1043;648;18;十
s00;1063;648;18;供
s00;1181;22;18;焕
s00;1201;21;18;彰
s00;1173;334;18;睡
s00;1194;334;17;莲
s00;1153;648;18;铜
s00;1174;648;18;臺
s00;1194;648;17;滴
s00;1213;648;18;漏
s00;1287;22;19;等
s00;1307;22;19;级
s00;1378;22;19;稀
s00;1398;22;19;有
s00;1418;22;19;度
s00;1478;16;32;@丿
s00;238;334;17;奪
s00;258;335;18;小
s00;277;335;18;孩
s00;298;335;16;頭
s00;317;335;19;裢
s00;239;647;15;曾
s00;257;648;18;侯
s00;278;649;18;乙
s00;298;648;17;编
s00;317;648;19;忡
s00;399;334;17;长
s00;419;335;17;信
s00;439;334;17;宫
s00;458;336;19;灯
s00;398;648;18;聊
s00;440;648;15;图
s00;560;335;17;铜
s00;580;334;18;车
s00;600;335;17;马
s00;535;386;37;0
s00;572;386;37;巛
s00;612;389;31;00
s00;550;648;16;皇
s00;570;648;16;后
s00;590;649;17;之
s00;610;648;17;望
s00;711;335;17;大
s00;731;335;18;盂
s00;752;334;16;鼎
s00;683;389;36;树
s00;718;390;30;。
s00;763;389;31;00
s00;711;648;17;大
s00;731;648;18;神
s00;861;335;18;星
s00;882;335;14;月
s00;901;334;19;夜
s00;835;390;27;0
s00;860;395;40;到
s00;899;389;46;100
s00;852;648;17;青
s00;872;648;17;饲
s00;891;649;18;仙
s00;912;648;18;鹤
s00;1285;336;18;汉
s00;1305;335;17;谟
s00;1324;335;19;拉
s00;1344;336;19;比
s00;1365;335;17;法
s00;1384;335;19;舆
s00;1305;647;17;莫
s00;1325;648;17;高
s00;1346;648;16;窟
s00;1364;648;18;记
s00;1465;334;19;秦
s00;1487;335;17;公
s00;1506;335;18;博
s00;1466;648;18;海
s00;1486;648;18;惜
s00;1507;648;15;图
FRAME s01
s01;137;24;24;器
s01;163;24;25;者
s01;189;24;23;列
s01;283;22;28;侖
s01;93;334;17;莲
s01;364;334;18;秦
s01;385;335;18;公
s01;404;335;19;博
s01;505;336;18;亚
s01;526;335;17;长
s01;545;334;18;牛
s01;566;334;17;尊
s01;647;334;16;鸟
s01;667;335;18;音
s01;687;335;17;山
s01;707;335;18;水
s01;726;335;18;钟
s01;184;336;18;汉
s01;203;335;18;谟
s01;224;335;18;拉
s01;243;336;19;比
s01;264;335;17;法
s01;283;335;19;典
s01;798;336;18;五
s01;817;335;18;星
s01;839;335;16;出
s01;859;335;15;东
s01;878;335;17;方
s01;948;22;19;批
s01;969;22;18;量
s01;989;22;18;关
